1,Parcel,Meeting with Big e-Commerce Customers,20.07.2026,"SSPOs Gurgaon need to meet with Amazon Nodal Officer on 08.08.2026 and submit compliance to Circle Office about the meeting outcome.

Further, SSPOs Gurgaon to submit updates on articles provided by Decathlon and Quickship daily upto 10.08.2026 and see if any increment is noticed in business given by Decathlon and Quickship. 

",SSPOs Gurgaon,10.08.2026,Spos Gurgaon
2,Parcel,On-boarding of customers,20.07.2026,"Divisionwise Target has been allotted to Divisions as well as Marketing Executives. 
",All Divisional Heads,10.08.2026,All catogories of customers have already been shard among all the Marketing Executives . Daily target of visiting minimum 5 customers in a day has been assigend among all the marketing executives . 6 customers were oboarded from 03.08.2026 to till date
3,Parcel,BO performance,20.07.2026,"All divisional heads to ensure there are no Nil transaction BOs in Parcel. Further, all divisional heads to ensure to provide weighing scales of upto 20kgs to all the BOs.
The monthly target for parcel booking in each BO is 5.

Nil Parcel Booking BOs in July 2026",All Divisional Heads,10.08.2026,Target assigned to all Branch Post offices for booking of 5 parcels in a day . Monitoring is being done at Divisional and Sub Divisional level . 16 Branch post offcies have ensured achievement of allotted target .
4,IR/GB,On-boarding of customers,20.07.2026,"AD (Mails&BD) to allot new targets for International Mail customers to divisions.

List of Potential International Mail Customers",All Divisional Heads,10.08.2026,List of potential International customers have been shared among all the marketing executives .
5,IR/GB,SO performance,20.07.2026,"All divisional heads to ensure there is atleast 3 International Mail article booked in each of the SO.

Nil International Mail Booking in July 2026",All Divisional Heads,15.08.2026,Target of booking minium 3 international Articles in each day has been assigned to all Post offices . Daily monitoring is being done to ensure to achieve target allotted .25 Post Offices have ensured achievemet of alloted target .
6,IR/GB,Authorization of BOs for International Mail Booking,21.07.2026,"All divisional heads to ensure BOs are to be identified and authorized for booking of International Mail in following manner:
i. Ambala, Faridabad, Gurgaon, Karnal and Kurukshetra Divisions -  atleast 50 BOs
ii. Other divisions - atleast 25 BOs.

Further, Divisional Heads to ensure that training of staff working in these BOs so identified be completed by 08.08.2026. Also, weighing scales are to provided to all the identified BOs.",All Divisional Heads,08.08.2026,50 Branch post offices have been identified for booking of International Mail and training completed on 05.08.2026 and 07.08.2026 .Proposal for purchase of Weighing scale sent to Circle Office Ambala on dtd 06.08.2026 .
7,Financial Services,Digital transactions,20.07.2026,"AD (FS) to review digital transactions in SB slide till next review meeting.

Target for next review meeting:
Divisional Heads to ensure to reach 25% minimum digital transactions in SB for the month of August.

Digital Transactions in SB",AD (FS),10.08.2026,Relates to AD(FS )
8,Financial Services,PLI/RPLI,20.07.2026,"AD (FS) has allotted weekly targets of PLI/RPLI to Divisions and monitor the progress.

Weekly targets for PLI/RPLI",AD (FS),10.08.2026,Relates to AD(FS )
9,Financial Services,Target to BOs for Aatmnirbhar BO Campaign,27.07.2026,"All Divisional Heads to ensure the following target to be achieved: For Double hand Bo's 3000 SB accounts and 150 RPLI policy with minimum Insured value As Rs 200000/-  and  For Single Hand Bo's 1500 SB accounts and 75 RPLI policy with minimum Insured value As Rs 200000/-.
Divisional Heads to issue further instructions to all the field units and ensure compliance.",All Divisional Heads,30.09.2026,Task assigned to all HO/SO/ BO to achieve the allotted target .
10,Mail Operations,Delivery Performance,20.07.2026,"Divisional Heads to ensure delivery performance (D+0) above 98% for the month of August. 
Further, divisional heads to ensure the return and redirect percentage should be less than 5%.

Performance upto 25th July, 2026

",All Divisional Heads,10.08.2026,Daily monitoring is being done to ensue delivery performace above 98% and to reduce the redirect percentage below 5%. 4 OAs have been assisgend the duty of daily monitoring work .
11,CCS,POPSK transactions,20.07.2026,"SPOs Sonipat to meet with RPO Delhi again to take follow up on increase in number of transactions upto 100 for all POPSKs under RPO Delhi viz. POPSK Sonipat, POPSK Rohtak, POPSK Narnaul & POPSK Faridabad.

",SPOs Sonipat,10.08.2026,Relates to SPOs Sonipat
12,CCS,Aadhaar Kits,20.07.2026,"Funds have been allotted to divisions for aadhaar kits. Divisional Heads to get kits faulty/inactive Aadhaar Kits repaired and activated by 13.08.2026. After this, if kits are beyond repair, condemnation proposal be submitted to Circle Office. ",All Divisional Heads,13.08.2026,7 Aadhar Kits have been condemned and 10 Aadhar Kits have been proposed for condemnation on dtd 31.07.2026
13,Marketing and Advertising,Deployment of Marketing Executives,20.07.2026,"Divisional Heads to ensure that atleast 06 Marketing Executives are deployed in field for marketing purpose in all divisions except Faridabad and Gurgaon. Both these Divisional Heads are to deploy atleast 10 Marketing Executives in the field. Further, Divisional Heads to assign MEs such that one ME is specifically assigned to each vertical. In Gurgaon and Faridabad division, two MEs for Parcel, IR/GB, Mail and CCS each, rest 2 for SB and PLI/RPLI each are to assigned.",All Divisional Heads,10.08.2026,10 Marketing executives have been deployed for marketing purpose and allotted verticle wise target .
14,Establishment,Rationalisation of BOs,22.07.2026,"Divisional Heads to ensure that all triple handed BOs are to be rationalised and proposal for the same be submitted to Circle Office, Ambala by 05.08.2026.
Further, divisional heads to make a plan on redeploying the posts of such offices for either delivery or aadhaar work.

Update on 10.08.2026:
AD(Estt) informed that proposals were received from all the divisions but observations were made during review of such proposals. All such proposals have been sent back for correction. Further, proposals received from Rohtak Division were found correct. Further instructions are being forwarded to Rohtak Division regarding the proposals received.",All Divisional Heads,10.08.2026,Proposal in regard to 10 Branch Post Offices sent to Circle Office Ambala on dtd 31.07.2026
15,Establishment,Franchisee,27.07.2026,"The revised target for franchisee has been allotted to divisions by the Establishment Section, Circle Office Ambala. All Divisional Heads are to ensure that the target is achieved accordingly.

Division-wise Target for Frachisee Scheme",All Divisional Heads,"application received upto 24.08.2026, on-boarded upto 31.08.2026",Targets have been alloted to both the sub Divisions and DO (PLI ) . Advertisenents have been made through posters and Phamphlets . Press Note was also issued through Media . Online link was aslo shared among all sub Post Offices .
16,IR/VR,BO visit plan,27.07.2026,"Monthly BO Visit targets have been allotted by Directorate as given below: 

Sr. No.        Name of authority        No. of BO visits Monthly
1                        CPMG                                        14
2                       DPS (HQ)                                    5
3                       Divisional Head                         5

All the Divisional Heads to share the visit plan for BOs on monthly basis with the Circle Office, Ambala.

Update on 03.08.2026:

BO visit plan has been shared by All the divisional heads.",All Divisional Heads,10.08.2026,Visit Plan of Divisional Head has already been sent to Cirlce Office Amabala . 1 Visit has been completed by the undersigned on 07.08.2026
17,Customer Services,Complaints on CMS and CPGRAMS,27.07.2026,"Divisional Heads to ensure resolution of 98% of the grievances within 3 days of receipt for the month of August.

CMS Complaints in July 2026",All Divisional Heads,10.08.2026,All SPMS have been directed to settle complaints with in 2 days from the date of registration and the reply should be qualitative covering all aspectes of compliant . All compliants are being monitored twice a day at Divisional Level .
18,Financial Services,Target for HO/SO,27.07.2026,"AD (FS) to put up reviews of SOs in connection to letter issued for improving the ECR of the concerned post offices. 



Letter sent to Divisions on 31.07.2026",AD (FS),31.08.2026,Relates to AD(FS )
19,Social Media,Roadmap to increase Social Media Outreach,03.08.2026,"Divisional Heads to reach out the famous social media influencers based out of their concerned divisions, discuss on how to make creative content for social media handles of the Circle and how to increase reach to the public through Social Media. 
Further, it was directed that there should be an exclusive person looking after the Social Media activities in divisions.",All Divisional Heads,10.08.2026,"The Video made in this Division on Har Gahr Tiranaga through Social Influenccer has already sent your office . Shri Rakesh Verma , DO PLI has been deployed to handle social media activities under Faridabad Division ."
20,CCS,Digital Transactions for Aadhaar Servics,05.08.2026,"Divisional Heads to ensure to implement online payment for Aadhaar services in all Post Office Aadhaar Centres through APT Booking Solution. Counter staff should be made aware about the functionality and its usage. 

Aadhar Transaction through APT",All Divisional Heads,10.08.2026,All SPMs of Aadhar Offices have been directed to sensitize the staff dealing with Aadhar Services to accept digital / online paymnet of Aadhar Services through AP2.0 and also educate the Aadhar Customers to make payment of Aadhat services digitally/online mode .
21,CCS,PMEGP Verification,06.08.2026,"Divisional Heads to ensure that verification of the pending KVIC units is done on priority basis. 

Verification of KVIC units",All Divisional Heads,10.08.2026,ThePMEGP Verification work will be completed by 31.08.2026
22,Financial Services,Setting up of May I Help You counter,06.08.2026,May I Help You counter is to be set up in 38 Offices identified for digital transactions in SB services.   ,All Divisional Heads,10.08.2026,Needs no action .
